franchise,revenue_category,revenue,year_created,original_media,creators,owners
Warcraft,게임,10,1994,Video game,Allen Adham  Frank Pearce Michael Morhaime,Blizzard Entertainment (Activision Blizzard)
Warcraft,영화,0.434,1994,Video game,Allen Adham  Frank Pearce Michael Morhaime,Blizzard Entertainment (Activision Blizzard)
Wii series,게임,14,2006,Video game,Nintendo EAD,Nintendo
Winnie the Pooh,VOD,0.059000000000000004,1924,Book,A. A. Milne E. H. Shepard,The Walt Disney Company
Winnie the Pooh,라이선싱,76,1924,Book,A. A. Milne E. H. Shepard,The Walt Disney Company
Winnie the Pooh,영화,0.46,1924,Book,A. A. Milne E. H. Shepard,The Walt Disney Company
Wizarding World  (Harry Potter),TV,1,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
Wizarding World  (Harry Potter),VOD,3,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
Wizarding World  (Harry Potter),게임,1,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
Wizarding World  (Harry Potter),라이선싱,8.108,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
Wizarding World  (Harry Potter),서적,7,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
Wizarding World  (Harry Potter),영화,9,1997,Novel,J. K. Rowling,J. K. Rowling (books) Warner Bros. (AT&T) (films)
Yu-Gi-Oh!,TV,0.152,1996,Manga,Kazuki Takahashi,Kazuki Takahashi  Shueisha (Hitotsubashi Group) (manga)Konami (games and card game)
Yu-Gi-Oh!,게임,11.329,1996,Manga,Kazuki Takahashi,Kazuki Takahashi  Shueisha (Hitotsubashi Group) (manga)Konami (games and card game)
Yu-Gi-Oh!,라이선싱,4,1996,Manga,Kazuki Takahashi,Kazuki Takahashi  Shueisha (Hitotsubashi Group) (manga)Konami (games and card game)
Yu-Gi-Oh!,만화,3.196,1996,Manga,Kazuki Takahashi,Kazuki Takahashi  Shueisha (Hitotsubashi Group) (manga)Konami (games and card game)
Yu-Gi-Oh!,영화,0.042,1996,Manga,Kazuki Takahashi,Kazuki Takahashi  Shueisha (Hitotsubashi Group) (manga)Konami (games and card game)
